wrapper_usr	function	domain
c:@F@p101_sendmsg	p101_sendmsg	network/io
c:@F@p101_sendto	p101_sendto	network/io
c:@F@p101_setbuffer	p101_setbuffer	c/stdio-streams-files-extensions
c:@F@p101_setdomainname	p101_setdomainname	systems/platform-admin
c:@F@p101_setegid	p101_setegid	systems/users-terminals
c:@F@p101_setenv	p101_setenv	systems/process-signal
c:@F@p101_seteuid	p101_seteuid	systems/users-terminals
c:@F@p101_setgid	p101_setgid	systems/users-terminals
c:@F@p101_sethostent	p101_sethostent	network/name-resolution
c:@F@p101_setlinebuf	p101_setlinebuf	c/stdio-streams-files-extensions
c:@F@p101_setlocale	p101_setlocale	c/locale
c:@F@p101_setlogmask	p101_setlogmask	systems/logging-diagnostics
c:@F@p101_setnetent	p101_setnetent	network/name-resolution
c:@F@p101_setpgid	p101_setpgid	systems/process-signal
c:@F@p101_setpriority	p101_setpriority	systems/process-signal
c:@F@p101_setprotoent	p101_setprotoent	network/name-resolution
c:@F@p101_setregid	p101_setregid	systems/users-terminals
c:@F@p101_setreuid	p101_setreuid	systems/users-terminals
c:@F@p101_setrlimit	p101_setrlimit	systems/process-signal
c:@F@p101_setservent	p101_setservent	network/name-resolution
c:@F@p101_setsid	p101_setsid	systems/process-signal
c:@F@p101_setsockopt	p101_setsockopt	network/sockets
c:@F@p101_setstate	p101_setstate	c/random
c:@F@p101_setuid	p101_setuid	systems/users-terminals
c:@F@p101_setusershell	p101_setusershell	systems/users-terminals
c:@F@p101_setutxent	p101_setutxent	systems/users-terminals
c:@F@p101_setvbuf	p101_setvbuf	c/stdio-state-buffering
c:@F@p101_shm_open	p101_shm_open	systems/ipc
c:@F@p101_shm_unlink	p101_shm_unlink	systems/ipc
c:@F@p101_shmat	p101_shmat	systems/ipc
c:@F@p101_shmctl	p101_shmctl	systems/ipc
c:@F@p101_shmdt	p101_shmdt	systems/ipc
c:@F@p101_shmget	p101_shmget	systems/ipc
c:@F@p101_shutdown	p101_shutdown	network/sockets
c:@F@p101_sigaction	p101_sigaction	systems/process-signal
c:@F@p101_sigaddset	p101_sigaddset	systems/process-signal
c:@F@p101_sigaltstack	p101_sigaltstack	systems/process-signal
c:@F@p101_sigdelset	p101_sigdelset	systems/process-signal
c:@F@p101_sigemptyset	p101_sigemptyset	systems/process-signal
c:@F@p101_sigfillset	p101_sigfillset	systems/process-signal
c:@F@p101_sigismember	p101_sigismember	systems/process-signal
c:@F@p101_siglongjmp	p101_siglongjmp	systems/process-signal
c:@F@p101_signal	p101_signal	c/control-flow
c:@F@p101_sigpending	p101_sigpending	systems/process-signal
c:@F@p101_sigprocmask	p101_sigprocmask	systems/process-signal
c:@F@p101_sigsuspend	p101_sigsuspend	systems/process-signal
c:@F@p101_sigwait	p101_sigwait	systems/process-signal
c:@F@p101_sin	p101_sin	c/math-trig
c:@F@p101_sinf	p101_sinf	c/math-trig
c:@F@p101_sinh	p101_sinh	c/math-trig
c:@F@p101_sinhf	p101_sinhf	c/math-trig
c:@F@p101_sinhl	p101_sinhl	c/math-trig
c:@F@p101_sinl	p101_sinl	c/math-trig
c:@F@p101_sleep	p101_sleep	systems/process-signal
c:@F@p101_snprintf	p101_snprintf	c/stdio-formatted
c:@F@p101_sockatmark	p101_sockatmark	network/sockets
c:@F@p101_socket	p101_socket	network/sockets
c:@F@p101_socketpair	p101_socketpair	network/sockets
c:@F@p101_sqrt	p101_sqrt	c/math-exp-log-power
c:@F@p101_sqrtf	p101_sqrtf	c/math-exp-log-power
c:@F@p101_sqrtl	p101_sqrtl	c/math-exp-log-power
c:@F@p101_srand48	p101_srand48	c/random
c:@F@p101_srandom	p101_srandom	c/random
c:@F@p101_sscanf	p101_sscanf	c/stdio-formatted
c:@F@p101_stat	p101_stat	systems/filesystem-paths
c:@F@p101_statvfs	p101_statvfs	systems/filesystem-paths
c:@F@p101_stpcpy	p101_stpcpy	c/byte-strings-extensions
c:@F@p101_stpncpy	p101_stpncpy	c/byte-strings-extensions
c:@F@p101_strcasecmp	p101_strcasecmp	c/byte-strings-extensions
c:@F@p101_strcasecmp_l	p101_strcasecmp_l	c/byte-strings-extensions
c:@F@p101_strcasestr	p101_strcasestr	c/byte-strings-extensions
c:@F@p101_strchr	p101_strchr	c/byte-strings
c:@F@p101_strchrnul	p101_strchrnul	c/byte-strings-extensions
c:@F@p101_strcmp	p101_strcmp	c/byte-strings
c:@F@p101_strcoll	p101_strcoll	c/byte-strings
c:@F@p101_strcoll_l	p101_strcoll_l	c/byte-strings-extensions
c:@F@p101_strcspn	p101_strcspn	c/byte-strings
c:@F@p101_strdup	p101_strdup	c/byte-strings-extensions
c:@F@p101_strerror	p101_strerror	c/byte-strings
c:@F@p101_strerror_r	p101_strerror_r	c/byte-strings-extensions
c:@F@p101_strftime	p101_strftime	c/time
c:@F@p101_strftime_l	p101_strftime_l	systems/resource-time-memory
c:@F@p101_strlen	p101_strlen	c/byte-strings
c:@F@p101_strncasecmp	p101_strncasecmp	c/byte-strings-extensions
c:@F@p101_strncasecmp_l	p101_strncasecmp_l	c/byte-strings-extensions
c:@F@p101_strncat	p101_strncat	c/byte-strings
c:@F@p101_strncmp	p101_strncmp	c/byte-strings
c:@F@p101_strncpy	p101_strncpy	c/byte-strings
c:@F@p101_strndup	p101_strndup	c/byte-strings-extensions
c:@F@p101_strnlen	p101_strnlen	c/byte-strings-extensions
c:@F@p101_strpbrk	p101_strpbrk	c/byte-strings
c:@F@p101_strptime	p101_strptime	systems/resource-time-memory
c:@F@p101_strrchr	p101_strrchr	c/byte-strings
c:@F@p101_strsep	p101_strsep	c/byte-strings-extensions
c:@F@p101_strsignal	p101_strsignal	c/byte-strings-extensions
c:@F@p101_strspn	p101_strspn	c/byte-strings
c:@F@p101_strstr	p101_strstr	c/byte-strings
c:@F@p101_strtod	p101_strtod	c/stdlib
c:@F@p101_strtof	p101_strtof	c/stdlib
c:@F@p101_strtoimax	p101_strtoimax	c/inttypes
c:@F@p101_strtok_r	p101_strtok_r	c/byte-strings-extensions
c:@F@p101_strtol	p101_strtol	c/stdlib
c:@F@p101_strtold	p101_strtold	c/stdlib
c:@F@p101_strtoll	p101_strtoll	c/stdlib
c:@F@p101_strtoul	p101_strtoul	c/stdlib
c:@F@p101_strtoull	p101_strtoull	c/stdlib
c:@F@p101_strtoumax	p101_strtoumax	c/inttypes
c:@F@p101_strxfrm	p101_strxfrm	c/byte-strings
c:@F@p101_strxfrm_l	p101_strxfrm_l	c/byte-strings-extensions
c:@F@p101_swab	p101_swab	c/byte-strings-extensions
c:@F@p101_swprintf	p101_swprintf	c/wide-stdio
c:@F@p101_swscanf	p101_swscanf	c/wide-stdio
c:@F@p101_symlink	p101_symlink	systems/filesystem-paths
c:@F@p101_symlinkat	p101_symlinkat	systems/filesystem-paths
c:@F@p101_sync	p101_sync	systems/fd-io
c:@F@p101_sysconf	p101_sysconf	systems/platform-admin
c:@F@p101_system	p101_system	c/stdlib
c:@F@p101_tan	p101_tan	c/math-trig
c:@F@p101_tanf	p101_tanf	c/math-trig
c:@F@p101_tanh	p101_tanh	c/math-trig
c:@F@p101_tanhf	p101_tanhf	c/math-trig
c:@F@p101_tanhl	p101_tanhl	c/math-trig
c:@F@p101_tanl	p101_tanl	c/math-trig
c:@F@p101_tcdrain	p101_tcdrain	systems/users-terminals
c:@F@p101_tcflow	p101_tcflow	systems/users-terminals
c:@F@p101_tcflush	p101_tcflush	systems/users-terminals
c:@F@p101_tcgetattr	p101_tcgetattr	systems/users-terminals
c:@F@p101_tcgetpgrp	p101_tcgetpgrp	systems/users-terminals
c:@F@p101_tcgetsid	p101_tcgetsid	systems/users-terminals
c:@F@p101_tcsendbreak	p101_tcsendbreak	systems/users-terminals
c:@F@p101_tcsetattr	p101_tcsetattr	systems/users-terminals
c:@F@p101_tcsetpgrp	p101_tcsetpgrp	systems/users-terminals
c:@F@p101_tdelete	p101_tdelete	systems/search-structures
c:@F@p101_telldir	p101_telldir	systems/directories-patterns
c:@F@p101_tfind	p101_tfind	systems/search-structures
c:@F@p101_tgamma	p101_tgamma	c/math-exp-log-power
c:@F@p101_tgammaf	p101_tgammaf	c/math-exp-log-power
c:@F@p101_tgammal	p101_tgammal	c/math-exp-log-power
c:@F@p101_time	p101_time	c/time
c:@F@p101_times	p101_times	systems/process-signal
c:@F@p101_timespec_get	p101_timespec_get	c/time
c:@F@p101_tmpfile	p101_tmpfile	c/stdio-streams-files
c:@F@p101_tolower	p101_tolower	c/char-classification
c:@F@p101_tolower_l	p101_tolower_l	c/byte-strings-extensions
c:@F@p101_tool_argv_append	p101_tool_argv_append	c/byte-utility
c:@F@p101_tool_argv_append_prefixed	p101_tool_argv_append_prefixed	c/byte-utility
c:@F@p101_tool_argv_destroy	p101_tool_argv_destroy	c/byte-utility
c:@F@p101_tool_argv_init	p101_tool_argv_init	c/byte-utility
c:@F@p101_tool_read_pipe_close	p101_tool_read_pipe_close	c/byte-utility
c:@F@p101_tool_read_pipe_open	p101_tool_read_pipe_open	c/byte-utility
c:@F@p101_tool_run_capture	p101_tool_run_capture	c/byte-utility
c:@F@p101_tool_run_redirect	p101_tool_run_redirect	c/byte-utility
c:@F@p101_toupper	p101_toupper	c/char-classification
c:@F@p101_toupper_l	p101_toupper_l	c/byte-strings-extensions
c:@F@p101_towctrans	p101_towctrans	c/wide-char-classification
c:@F@p101_towctrans_l	p101_towctrans_l	c/byte-strings-extensions
c:@F@p101_towlower	p101_towlower	c/wide-char-classification
c:@F@p101_towlower_l	p101_towlower_l	c/byte-strings-extensions
c:@F@p101_towupper	p101_towupper	c/wide-char-classification
c:@F@p101_towupper_l	p101_towupper_l	c/byte-strings-extensions
c:@F@p101_trunc	p101_trunc	c/math-rounding-remainder
c:@F@p101_truncate	p101_truncate	systems/filesystem-paths
c:@F@p101_truncf	p101_truncf	c/math-rounding-remainder
c:@F@p101_truncl	p101_truncl	c/math-rounding-remainder
c:@F@p101_tsearch	p101_tsearch	systems/search-structures
c:@F@p101_ttyname_r	p101_ttyname_r	systems/users-terminals
c:@F@p101_twalk	p101_twalk	systems/search-structures
c:@F@p101_tzset	p101_tzset	systems/resource-time-memory
c:@F@p101_umask	p101_umask	systems/filesystem-paths
c:@F@p101_uname	p101_uname	systems/platform-admin
c:@F@p101_ungetc	p101_ungetc	c/stdio-character-io
c:@F@p101_ungetwc	p101_ungetwc	c/wide-stdio
c:@F@p101_unlink	p101_unlink	systems/filesystem-paths
c:@F@p101_unlinkat	p101_unlinkat	systems/filesystem-paths
c:@F@p101_unlockpt	p101_unlockpt	systems/users-terminals
c:@F@p101_unsetenv	p101_unsetenv	systems/process-signal
c:@F@p101_uselocale	p101_uselocale	systems/localization-conversion
c:@F@p101_utimensat	p101_utimensat	systems/filesystem-paths
c:@F@p101_vdprintf	p101_vdprintf	c/stdio-formatted-extensions
c:@F@p101_vfprintf	p101_vfprintf	c/stdio-formatted
c:@F@p101_vfscanf	p101_vfscanf	c/stdio-formatted
c:@F@p101_vfwprintf	p101_vfwprintf	c/wide-stdio
c:@F@p101_vfwscanf	p101_vfwscanf	c/wide-stdio
c:@F@p101_vprintf	p101_vprintf	c/stdio-formatted
c:@F@p101_vscanf	p101_vscanf	c/stdio-formatted
c:@F@p101_vsnprintf	p101_vsnprintf	c/stdio-formatted
c:@F@p101_vsscanf	p101_vsscanf	c/stdio-formatted
c:@F@p101_vswprintf	p101_vswprintf	c/wide-stdio
c:@F@p101_vswscanf	p101_vswscanf	c/wide-stdio
c:@F@p101_vwarn	p101_vwarn	systems/logging-diagnostics
c:@F@p101_vwarnx	p101_vwarnx	systems/logging-diagnostics
c:@F@p101_vwprintf	p101_vwprintf	c/wide-stdio
c:@F@p101_vwscanf	p101_vwscanf	c/wide-stdio
c:@F@p101_wait	p101_wait	systems/process-signal
c:@F@p101_waitid	p101_waitid	systems/process-signal
c:@F@p101_waitpid	p101_waitpid	systems/process-signal
c:@F@p101_warn	p101_warn	systems/logging-diagnostics
c:@F@p101_warnx	p101_warnx	systems/logging-diagnostics
c:@F@p101_wcpcpy	p101_wcpcpy	c/byte-strings-extensions
c:@F@p101_wcpncpy	p101_wcpncpy	c/byte-strings-extensions
c:@F@p101_wcrtomb	p101_wcrtomb	c/wide-conversion
c:@F@p101_wcscasecmp	p101_wcscasecmp	c/byte-strings-extensions
c:@F@p101_wcschr	p101_wcschr	c/wide-strings
c:@F@p101_wcscmp	p101_wcscmp	c/wide-strings
c:@F@p101_wcscoll	p101_wcscoll	c/wide-strings
c:@F@p101_wcscoll_l	p101_wcscoll_l	c/byte-strings-extensions
c:@F@p101_wcscspn	p101_wcscspn	c/wide-strings
c:@F@p101_wcsdup	p101_wcsdup	c/byte-strings-extensions
c:@F@p101_wcsftime	p101_wcsftime	c/wide-strings
c:@F@p101_wcslen	p101_wcslen	c/wide-strings
c:@F@p101_wcsncasecmp	p101_wcsncasecmp	c/byte-strings-extensions
c:@F@p101_wcsncat	p101_wcsncat	c/wide-strings
c:@F@p101_wcsncmp	p101_wcsncmp	c/wide-strings
c:@F@p101_wcsncpy	p101_wcsncpy	c/wide-strings
c:@F@p101_wcsnlen	p101_wcsnlen	c/byte-strings-extensions
c:@F@p101_wcsnrtombs	p101_wcsnrtombs	c/byte-strings-extensions
c:@F@p101_wcspbrk	p101_wcspbrk	c/wide-strings
c:@F@p101_wcsrchr	p101_wcsrchr	c/wide-strings
c:@F@p101_wcsrtombs	p101_wcsrtombs	c/wide-conversion
c:@F@p101_wcsspn	p101_wcsspn	c/wide-strings
c:@F@p101_wcsstr	p101_wcsstr	c/wide-strings
c:@F@p101_wcstod	p101_wcstod	c/wide-conversion
c:@F@p101_wcstof	p101_wcstof	c/wide-conversion
c:@F@p101_wcstoimax	p101_wcstoimax	c/inttypes
c:@F@p101_wcstok	p101_wcstok	c/wide-conversion
c:@F@p101_wcstol	p101_wcstol	c/wide-conversion
c:@F@p101_wcstold	p101_wcstold	c/wide-conversion
c:@F@p101_wcstoll	p101_wcstoll	c/wide-conversion
c:@F@p101_wcstombs	p101_wcstombs	c/stdlib
c:@F@p101_wcstoul	p101_wcstoul	c/wide-conversion
c:@F@p101_wcstoull	p101_wcstoull	c/wide-conversion
c:@F@p101_wcstoumax	p101_wcstoumax	c/inttypes
c:@F@p101_wcswidth	p101_wcswidth	c/byte-strings-extensions
c:@F@p101_wcsxfrm	p101_wcsxfrm	c/wide-strings
c:@F@p101_wcsxfrm_l	p101_wcsxfrm_l	c/byte-strings-extensions
c:@F@p101_wctob	p101_wctob	c/wide-conversion
c:@F@p101_wctomb	p101_wctomb	c/stdlib
c:@F@p101_wctrans	p101_wctrans	c/wide-char-classification
c:@F@p101_wctrans_l	p101_wctrans_l	c/byte-strings-extensions
c:@F@p101_wctype	p101_wctype	c/wide-char-classification
c:@F@p101_wctype_l	p101_wctype_l	c/byte-strings-extensions
c:@F@p101_wcwidth	p101_wcwidth	c/byte-strings-extensions
c:@F@p101_wmemchr	p101_wmemchr	c/wide-memory
c:@F@p101_wmemcmp	p101_wmemcmp	c/wide-memory
c:@F@p101_wmemcpy	p101_wmemcpy	c/wide-memory
c:@F@p101_wmemmove	p101_wmemmove	c/wide-memory
c:@F@p101_wmemset	p101_wmemset	c/wide-memory
c:@F@p101_wordexp	p101_wordexp	c/byte-strings-extensions
c:@F@p101_wordfree	p101_wordfree	c/byte-strings-extensions
c:@F@p101_wprintf	p101_wprintf	c/wide-stdio
c:@F@p101_write	p101_write	systems/fd-io
c:@F@p101_writev	p101_writev	systems/fd-io
c:@F@p101_wscanf	p101_wscanf	c/wide-stdio
c:@F@p101_y0	p101_y0	c/math-other
c:@F@p101_y1	p101_y1	c/math-other
c:@F@p101_yn	p101_yn	c/math-other
